 Time, Input, Delta Input, Velocity, Acceleration ,Voltage,Delta Voltage,RPM,RPM per s
3.21019,-0.898438,0,-1455.921963,-926.735137,-10.6464903,0,-4367.765889,-2780.205411
3.219775,-0.9375,-3.90625,-1463.807363,-788.540037,-11.109375,-46.2890625,-4391.422089,-2365.620111
3.230176,-0.9375,0,-1519.179643,-5537.228004,-11.109375,0,-4557.538929,-16611.684012
3.239801,-0.976563,-3.90625,-1522.881291,-370.164841,-11.57227155,-46.2890625,-4568.643873,-1110.494523
3.249861,-0.976563,0,-1554.968123,-3208.683175,-11.57227155,0,-4664.904369,-9626.049525
3.259785,-1,-2.34375,-1557.632399,-266.42756,-11.85,-27.7734375,-4672.897197,-799.28268
3.270067,-1,0,-1555.089029,254.336991,-11.85,0,-4665.267087,763.010973
3.279788,-1,0,-1573.316551,-1822.752244,-11.85,0,-4719.949653,-5468.256732
3.289989,-1,0,-1594.514869,-2119.831756,-11.85,0,-4783.544607,-6359.495268
3.299816,-1,0,-1597.316508,-280.163941,-11.85,0,-4791.949524,-840.491823
3.309915,-1,0,-1635.322976,-3800.646802,-11.85,0,-4905.968928,-11401.940406
3.319805,-0.9375,6.25,-1636.259511,-93.653447,-11.109375,74.0625,-4908.778533,-280.960341
3.330033,-0.9375,0,-1646.226027,-996.651608,-11.109375,0,-4938.678081,-2989.954824
3.339775,-0.859375,7.8125,-1632.120124,1410.590279,-10.18359375,92.578125,-4896.360372,4231.770837
3.350188,-0.859375,0,-1600,3212.012404,-10.18359375,0,-4800,9636.037212
3.359793,-0.601563,25.78125,-1540.59467,5940.533046,-7.12852155,305.5078125,-4621.78401,17821.599138
